no,name,party,Id
9771220,김승남,더불어민주당,김승남-더불어민주당
9771221,윤재갑,더불어민주당,윤재갑-더불어민주당
9771223,김형동,국민의힘,김형동-국민의힘
9771224,구자근,국민의힘,구자근-국민의힘
9771225,김영식,국민의힘,김영식-국민의힘
9771226,박형수,국민의힘,박형수-국민의힘
9771227,윤두현,국민의힘,윤두현-국민의힘
9771228,김희국,국민의힘,김희국-국민의힘
9771229,정희용,국민의힘,정희용-국민의힘
9771230,강기윤,국민의힘,강기윤-국민의힘
9771231,최형두,국민의힘,최형두-국민의힘
9771232,이달곤,국민의힘,이달곤-국민의힘
9771233,강민국,국민의힘,강민국-국민의힘
9771234,하영제,국민의힘,하영제-국민의힘
9771235,조해진,국민의힘,조해진-국민의힘
9771236,서일준,국민의힘,서일준-국민의힘
9771237,김태호,국민의힘,김태호-국민의힘
9771238,송재호,더불어민주당,송재호-더불어민주당
9771239,윤주경,국민의힘,윤주경-국민의힘
9771240,윤창현,국민의힘,윤창현-국민의힘
9771241,한무경,국민의힘,한무경-국민의힘
9771242,이종성,국민의힘,이종성-국민의힘
9771243,조수진,국민의힘,조수진-국민의힘
9771244,조태용,국민의힘,조태용-국민의힘
9771245,정경희,국민의힘,정경희-국민의힘
9771246,신원식,국민의힘,신원식-국민의힘
9771247,조명희,국민의힘,조명희-국민의힘
9771248,박대수,국민의힘,박대수-국민의힘
9771249,김예지,국민의힘,김예지-국민의힘
9771250,지성호,국민의힘,지성호-국민의힘
9771251,이영,국민의힘,이영-국민의힘
9771252,최승재,국민의힘,최승재-국민의힘
9771253,전주혜,국민의힘,전주혜-국민의힘
9771254,서정숙,국민의힘,서정숙-국민의힘
9771255,이용,국민의힘,이용-국민의힘
9771256,허은아,국민의힘,허은아-국민의힘
9771257,신현영,더불어민주당,신현영-더불어민주당
9771258,김경만,더불어민주당,김경만-더불어민주당
9771259,권인숙,더불어민주당,권인숙-더불어민주당
9771260,이동주,더불어민주당,이동주-더불어민주당
9771261,용혜인,기본소득당,용혜인-기본소득당
9771262,조정훈,시대전환,조정훈-시대전환
9771263,윤미향,더불어민주당,윤미향-더불어민주당
9771264,정필모,더불어민주당,정필모-더불어민주당
9771266,유정주,더불어민주당,유정주-더불어민주당
9771267,최혜영,더불어민주당,최혜영-더불어민주당
9771268,김병주,더불어민주당,김병주-더불어민주당
9771269,이수진2,더불어민주당,이수진2-더불어민주당
9771270,김홍걸,무소속,김홍걸-무소속
9771271,양정숙,무소속,양정숙-무소속
9771272,전용기,더불어민주당,전용기-더불어민주당
9771273,양경숙,더불어민주당,양경숙-더불어민주당
9771274,류호정,정의당,류호정-정의당
9771275,장혜영,정의당,장혜영-정의당
9771276,강은미,정의당,강은미-정의당
9771277,배진교,정의당,배진교-정의당
9771278,이은주,정의당,이은주-정의당
9771279,최연숙,국민의당,최연숙-국민의당
9771280,이태규,국민의당,이태규-국민의당
9771282,최강욱,열린민주당,최강욱-열린민주당
9771283,강민정,열린민주당,강민정-열린민주당
9771284,이수진,더불어민주당,이수진-더불어민주당
9771285,김병욱,무소속,김병욱-무소속
9771286,태영호,국민의힘,태영호-국민의힘
9771287,양이원영,더불어민주당,양이원영-더불어민주당
9771288,김의겸,열린민주당,김의겸-열린민주당
1111111,김진애,열린민주당,김진애-열린민주당
9771140,정동만,국민의힘,정동만-국민의힘
