co.member.no,name,party,Id
9000184,표창원,더불어민주당,표창원-더불어민주당
9770858,하태경,미래통합당,하태경-미래통합당
9000185,한선교,미래통합당,한선교-미래통합당
9770859,한정애,더불어민주당,한정애-더불어민주당
9000186,함진규,미래통합당,함진규-미래통합당
9000187,홍문종,친박신당,홍문종-친박신당
9770886,홍문표,미래통합당,홍문표-미래통합당
9770676,홍영표,더불어민주당,홍영표-더불어민주당
9000188,홍의락,더불어민주당,홍의락-더불어민주당
9770864,홍익표,더불어민주당,홍익표-더불어민주당
9000189,홍일표,미래통합당,홍일표-미래통합당
9000190,홍철호,미래통합당,홍철호-미래통합당
9000191,황영철,미래통합당,황영철-미래통합당
9000192,황주홍,민생당,황주홍-민생당
9770936,황희,더불어민주당,황희-더불어민주당
9000195,허윤정,더불어민주당,허윤정-더불어민주당
9000196,정은혜,더불어민주당,정은혜-더불어민주당
